Date,MSCI
2024-05-20,512.26
2024-05-17,505.33
2024-05-16,497.51
2024-05-15,490.06
2024-05-14,488.11
2024-05-13,485.57
2024-05-10,485.16
2024-05-09,482.5
2024-05-08,470.75
2024-05-07,471.4
2024-05-06,475.49
2024-05-03,467.04
2024-05-02,467.7
2024-05-01,470.03
2024-04-30,465.79
2024-04-29,476.98
2024-04-26,477.78
2024-04-25,464.49
2024-04-24,464.65
2024-04-23,446.0
2024-04-22,515.17
2024-04-19,510.07
2024-04-18,505.76
2024-04-17,511.83
2024-04-16,513.43
2024-04-15,513.06
2024-04-12,526.62
2024-04-11,534.49
2024-04-10,533.05
2024-04-09,554.72
2024-04-08,549.06
2024-04-05,542.39
2024-04-04,533.58
2024-04-03,540.0
2024-04-02,542.29
2024-04-01,554.83
2024-03-28,560.45
2024-03-27,557.0
2024-03-26,551.68
2024-03-25,551.34
2024-03-22,553.11
2024-03-21,563.78
2024-03-20,559.14
2024-03-19,564.33
2024-03-18,550.39
2024-03-15,544.74
2024-03-14,553.07
2024-03-13,557.52
2024-03-12,565.8
2024-03-11,564.3
2024-03-08,551.5
2024-03-07,550.17
2024-03-06,549.53
2024-03-05,550.35
2024-03-04,558.37
2024-03-01,565.48
2024-02-29,560.97
2024-02-28,567.91
2024-02-27,557.84
2024-02-26,567.93
2024-02-23,568.97
2024-02-22,565.47
2024-02-21,555.65
2024-02-20,556.56
2024-02-16,568.75
2024-02-15,575.72
2024-02-14,572.8
2024-02-13,575.61
2024-02-12,590.19
2024-02-09,592.42
2024-02-08,585.5
2024-02-07,590.63
2024-02-06,582.0
2024-02-05,583.39
2024-02-02,593.06
2024-02-01,604.3
2024-01-31,598.62
2024-01-30,602.24
2024-01-29,550.95
2024-01-26,549.29
2024-01-25,554.77
2024-01-24,558.46
2024-01-23,563.8
2024-01-22,566.22
2024-01-19,553.93
2024-01-18,546.46
2024-01-17,538.16
2024-01-16,542.47
2024-01-12,545.46
2024-01-11,550.28
2024-01-10,546.66
2024-01-09,539.75
2024-01-08,543.15
2024-01-05,538.05
2024-01-04,559.72
2024-01-03,549.87
2024-01-02,555.8
2023-12-29,565.65
2023-12-28,570.6
2023-12-27,565.62
2023-12-26,561.27
2023-12-22,562.28
2023-12-21,553.02
2023-12-20,540.18
2023-12-19,542.53
2023-12-18,532.86
2023-12-15,531.58
2023-12-14,542.11
2023-12-13,546.37
2023-12-12,526.02
2023-12-11,516.61
2023-12-08,506.68
2023-12-07,508.44
2023-12-06,515.11
2023-12-05,523.43
2023-12-04,525.49
2023-12-01,527.7
2023-11-30,520.85
2023-11-29,526.57
2023-11-28,523.84
2023-11-27,525.35
2023-11-24,528.35
2023-11-22,523.97
2023-11-21,524.89
2023-11-20,522.21
2023-11-17,521.42
2023-11-16,524.27
2023-11-15,521.75
2023-11-14,518.05
2023-11-13,503.79
2023-11-10,514.26
2023-11-09,506.22
2023-11-08,504.98
2023-11-07,497.3
2023-11-06,496.56
2023-11-03,497.76
2023-11-02,487.02
2023-11-01,471.85
2023-10-31,471.55
2023-10-30,481.99
2023-10-27,476.19
2023-10-26,481.55
2023-10-25,479.63
2023-10-24,488.05
2023-10-23,487.59
2023-10-20,489.74
2023-10-19,497.27
2023-10-18,505.99
2023-10-17,515.8
2023-10-16,515.46
2023-10-13,510.56
2023-10-12,520.09
2023-10-11,523.17
2023-10-10,520.78
2023-10-09,515.37
2023-10-06,513.34
2023-10-05,498.13
2023-10-04,501.59
2023-10-03,495.46
2023-10-02,506.99
2023-09-29,513.08
2023-09-28,521.5
2023-09-27,511.94
2023-09-26,516.26
2023-09-25,516.9
2023-09-22,513.16
2023-09-21,515.42
2023-09-20,535.04
2023-09-19,538.05
2023-09-18,533.09
2023-09-15,530.08
2023-09-14,538.69
2023-09-13,535.25
2023-09-12,525.97
2023-09-11,536.16
2023-09-08,533.79
2023-09-07,546.49
2023-09-06,541.84
2023-09-05,541.16
2023-09-01,541.39
2023-08-31,543.62
2023-08-30,544.13
2023-08-29,538.61
2023-08-28,532.15
2023-08-25,531.15
2023-08-24,532.46
2023-08-23,535.85
2023-08-22,527.91
2023-08-21,524.74
2023-08-18,520.17
2023-08-17,520.75
2023-08-16,529.63
2023-08-15,533.82
2023-08-14,547.28
2023-08-11,548.99
2023-08-10,546.86
2023-08-09,546.2
2023-08-08,548.07
2023-08-07,551.5
2023-08-04,542.26
2023-08-03,543.78
2023-08-02,545.25
2023-08-01,545.94
2023-07-31,548.08
2023-07-28,550.28
2023-07-27,553.6
2023-07-26,557.25
2023-07-25,548.2
2023-07-24,502.75
2023-07-21,511.42
2023-07-20,509.66
2023-07-19,507.94
2023-07-18,502.83
2023-07-17,499.25
2023-07-14,497.18
2023-07-13,497.78
2023-07-12,497.75
2023-07-11,486.65
2023-07-10,480.63
2023-07-07,471.75
2023-07-06,469.46
2023-07-05,473.32
2023-07-03,472.82
2023-06-30,469.29
2023-06-29,462.07
2023-06-28,463.32
2023-06-27,465.08
2023-06-26,463.25
2023-06-23,465.15
2023-06-22,467.2
2023-06-21,474.65
2023-06-20,473.78
2023-06-16,477.73
2023-06-15,487.55
2023-06-14,486.2
2023-06-13,479.99
2023-06-12,474.18
2023-06-09,473.85
2023-06-08,480.87
2023-06-07,472.49
2023-06-06,477.24
2023-06-05,480.81
2023-06-02,478.76
2023-06-01,466.97
2023-05-31,470.53
2023-05-30,471.41
2023-05-26,475.83
2023-05-25,466.51
2023-05-24,457.19
2023-05-23,460.1
2023-05-22,472.42
